"plotID","DBH","species","height","BAL","PC1_cat","plotID_PC1_cat"
"plot_1540",24.3,"PCAB",12.8,12.2542871563461,"1.32_1.54","plot_1540_1.32_1.54"
"plot_1540",60.3,"PCAB",25.3,0,"1.32_1.54","plot_1540_1.32_1.54"
"plot_2090",13.3,"PCAB",15,51.3767512330969,"1.32_1.54","plot_2090_1.32_1.54"
"plot_2090",22.7,"PCAB",20.2,16.5383471531902,"1.32_1.54","plot_2090_1.32_1.54"
"plot_2090",44.2,"PCAB",26,0,"1.32_1.54","plot_2090_1.32_1.54"
"plot_2090",40.8,"PCAB",25.3,12.1862997926501,"1.32_1.54","plot_2090_1.32_1.54"
"plot_2090",30.4,"PCAB",19.9,57.2238341569536,"1.32_1.54","plot_2090_1.32_1.54"
"plot_1118",38.4,"PCAB",20.9,26.4402980092818,"1.32_1.54","plot_1118_1.32_1.54"
"plot_2402",27.7,"PCAB",17.6,3.1007912190013,"1.32_1.54","plot_2402_1.32_1.54"
"plot_2402",22,"PCAB",16.1,14.0901143655035,"1.32_1.54","plot_2402_1.32_1.54"
"plot_2402",18.7,"PCAB",13.2,21.043075838155,"1.32_1.54","plot_2402_1.32_1.54"
"plot_2402",32,"PCAB",18,22.4163052569473,"1.32_1.54","plot_2402_1.32_1.54"
"plot_2402",41.8,"PCAB",19.3,11.7984082901891,"1.32_1.54","plot_2402_1.32_1.54"
"plot_1626",41.3,"PCAB",27.3,30.8338061854385,"1.32_1.54","plot_1626_1.32_1.54"
"plot_2112",37.1,"PCAB",26.6,26.6948931491676,"1.32_1.54","plot_2112_1.32_1.54"
"plot_2112",23.3,"PCAB",20.3,18.5879728585737,"1.32_1.54","plot_2112_1.32_1.54"
"plot_2112",29.6,"PCAB",24.8,0,"1.32_1.54","plot_2112_1.32_1.54"
"plot_2112",43.5,"PCAB",27.7,9.30450012253129,"1.32_1.54","plot_2112_1.32_1.54"
"plot_2112",41.2,"PCAB",28.6,16.3615852069165,"1.32_1.54","plot_2112_1.32_1.54"
"plot_1274",38.1,"PCAB",26.8,21.0072883069018,"1.12_1.32","plot_1274_1.12_1.32"
